portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Levou sua filha Maria quando se completaram três anos,O membyra Maria rerasóû mosapyr ro'y sykeme,O membyrĩ Maria o moysyrung mbohapy ro'y riré serasóû,O membyra Maria rerasóû mosapyr ro'y sykeme
"Após morrer seu filho, ama todos os homens",O membyra re'õ ré opabĩ abá raûsubi,"I membyra re'õ ré, opá abá raûsubi",O membyra re'õ ré opabĩ abá raûsubi
"Após passar seu parto, Santa Maria levou seu filho Jesus ao templo","O membyrara kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype","I membyra kuakupa, Santa Maria o membyra Îesus rerasóû Tupãokype","O membyrara kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype"
"Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo","O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype","I membyrara 'ara syk'iré, Santa Maria o membyra Îesus rerasóû Tupãokype","O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype"
a que mata seu marido,o mena îukasara,mena resé oîeerekomemûãba'e,o mena îukasara
O que tem relações sexuais com o que não é seu cônjuge,O mendasabe'yma resé oîkoba'e,Abá abá resé oîepysóbo,O mendasabe'yma resé oîkoba'e
"Se ele tem muita dor quando o empalidece e quando o deixa doente aquilo que se abrandará, quanto mais aquilo que não se abrandará","O moaîureme o momara'areme a'e i arybeba'erama biã sasyeté, memetipó i arybeba'erame'yma","Mba'easyboramo oîemoŷrõmo o abaetéramo oîemoŷrõmo, i moarybébo, i mombe'ue'yma","O moaîureme o momara'areme a'e i arybeba'erama biã sasyeté, memetipó i arybeba'erame'yma"
seu criador de verdade,o moîangara tekatu,nde monhangareté,o moîangara tekatu
Reconhecendo que tu és o seu próprio criador,O monhangaramo nde rekó kuapa,Nde monhangaramo nde rekó kuapa,O monhangaramo nde rekó kuapa
tendo falta de um confessor seu,o monhemombe'ûarama resé oîkotebẽmo,monhemombe'ûarama,o monhemombe'ûarama resé oîkotebẽmo
Retribuindo seu regozijo com ele,O morybagûera poepyka,O morybagûera arõana,O morybagûera poepyka
Escondendo ser parente legítimo dela,O mũetéramo sekó kuakupa,I 'apira mondyîa,O mũetéramo sekó kuakupa
chegando com sua ferocidade,o nharõ rerobasema,kane'õ supa,o nharõ rerobasema
a maldade de suas palavras,o nhe'enga poxŷagûera,nhe'engasy,o nhe'enga poxŷagûera
tentando inutilmente o modo antigo de falar,o nhe'engabûera ra'angyîepébo,abá nhe'engabûera ra'angyîepébo,o nhe'engabûera ra'angyîepébo
não querendo espaçar longamente a falta de sua confissão,o nhemombe'ue'yma mopa'ũmuku potare'yma,Iî pysyrõ potare'yma,o nhemombe'ue'yma mopa'ũmuku potare'yma
Conhecendo a morte ainda em sua primeira infância,O pitangĩ pupé bé te'õ kuapa,Mi'uru re'õ kuapa bé,O pitangĩ pupé bé te'õ kuapa
"Ainda sendo criancinha aquele Nosso Senhor Jesus Cristo era conhecedor de quaisquer coisas, como em sua idade adulta?",O pitangĩnamo bépe a'e Îandé Îara Îesu Cristo mba'e tetiruã kuaparamo sekóû o kakuaba îabé?,Pitangĩnamo bépe Îandé Îara Îesu Cristo mba'e tetiruã kuaparamo sekóû o kakuaba îabé?,O pitangĩnamo bépe a'e Îandé Îara Îesu Cristo mba'e tetiruã kuaparamo sekóû o kakuaba îabé?
"Ergueuse com as feridas de suas mãos, de seus pés e de seu flanco?","O pó, o py o yké kutukagûera bépe erimba'e ogûeropu'am?","O pó, o py o yké kutukagûera bépe i xuí?","O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?"
"Ergueuse com as feridas de suas mãos, de seus pés, de seu flanco?","O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?","O pó, o py, o yké kutukagûera bépe i xuí?","O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?"
"Ergueuse com as feridas de suas mãos, de seus pés e de seu flanco?","O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?","O pó, o py o yké kutukagûera bépe i xuí?","O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?"
"Segundo seu costume, certamente Deus perdoará a ti, afinal",O poekûabo ipó Tupã nhyrõnamo ndebe ko'yténe,"Sekomonhanga resé é, Tupã nhyrõ nhẽ ndebe",O poekûabo ipó Tupã nhyrõnamo ndebe ko'yténe
ficando a confundir as pessoas,o poromonãmonana,Eboûĩ abá oîmoabangá,o poromonãmonana
"A que ingere uma poção, querendo matar seu feto",O puru'a îuká potá mosanga o'uba'e,"Nd'oîkóîpe muru, o pitanga îukábo?",O puru'a îuká potá mosanga o'uba'e
"A que ingere uma poção, querendo matar seu feto",O puru'a îukápotá mosanga o'uba'e,"Nd'oîkóîpe muru, o pitanga îukábo?",O puru'a îuká potá mosanga o'uba'e
Detestandose em seu coração,O py'ape oîeroŷrõmo,Aî'apirabo'o,O py'ape oîeroŷrõmo
Junto de si mesmo ninguém lhes dá de comer,O pyri abá n'omomba'e'uî,"Aûîeté, abá n'omomba'e'uî",O pyri abá n'omomba'e'uî
Junto a si fazendovos sentar,O pyri pe mogûapyka,Nde pyri aín,O pyri pe mogûapyka
Com seu sopro somente dando vida a ele,O pytu pupé nhote tekobé me'enga i xupé,I 'anga moingobébo,O pytu pupé nhote tekobé me'enga i xupé
Muito escura é a alma do que não é batizado,O pytumimbykamo nhẽ nhemongaraibypyre'yma 'anga rekóû,I pytumimbykamo nhẽ pe 'anga nhemongaraibypyre'yma rekóû,O pytumimbykamo nhẽ nhemongaraibypyre'yma 'anga rekóû
Afligiuse por se ter frustrado sua ida,O sorambûera resé sekotebẽû,I aŷpy ogûeropu'am,O sorambûera resé sekotebẽû
ao vir a lua para visitála,o supa îasy rureme,îasy supé oúbo sepîaka,o supa îasy rureme
Pranteando o que o visita,O supara rapirõmo,I xupé oúba'e supé oîerurébo,O supara rapirõmo
Tomando o leite de sua mãe,O sy kambûabo oúpa,I xy rygépe ogûapyka,O sy kambûabo oúpa
Ao lado de sua mãe a criança está deitada,O sy posé pitanga ruî,I xy posé pitanga ruî,O sy posé pitanga ruî
Ao lado de sua própria mãe a criança está deitada,O sy posé pitanga ruî,I xy posé pitanga ruî,O sy posé pitanga ruî
Que ele fique dentro de vós como fica com seu estado de feto no ventre de sua mãe,"O sy rygépe o pitanga reropytá îabé, t'opytá pe pupé","Pe rygépe t'oîkó pe rekobé pukuî, i pitangĩ rygépe","O sy rygépe o pitanga reropytá îabé, t'opytá pe pupé"
"Durante a estada dele no ventre de sua mãe, Deus o santificou",O sy rygépe sekó remebé Tupã i mongaraíbi,I xy rygépe sekó remebé Tupã i mongaraíbi,O sy rygépe sekó remebé Tupã i mongaraíbi
Lamentando terem nascido de suas mães,O sy suí o 'aragûera moasŷabo,O sy suí o 'aragûera moasŷabo,O sy suí o 'aragûera moasŷabo
"O que leva aquele que recebe o óleo santo em sua testa (isto é, seu padrinho de crisma) não pode casarse com ele",O sybápe îandykaraíba rasara rerasoara nd'e'ikatuî sesé omendá,I xupé muru'apora serasóbo a'e n'e'ikatuî sesé omendá,O sybápe îandykaraíba rasara rerasoara nd'e'ikatuî sesé omendá
"Sendo ignorantes, sem mais, assim me tratam",O tekokuabe'ymamo nhẽ emonã xe rerekóû,I kuapare'yma nhẽ emonã xe rerekóû,O tekokuabe'ymamo nhẽ emonã xe rerekóû
antes de sua velhice,o tunhãba'e e'ymebé,o tunhãba'e e'ymebé,o tunhãba'e e'ymebé
Honrandoo falsamente como seu Deus,O Tupãnamo i moetéa'upa,Tupã ramo i moetébo,O Tupãnamo i moetéa'upa
Que me tratem como a seu próprio deus,O tupãnamo ta xe rerekó,I tupãnamo xe rerekóbo,O tupãnamo ta xe rerekó
"de lado, de ilharga",o ykébo,apyteri,o ykébo
Nasceu para nós hoje,O'a îandébo kori,O'a îandébo kori,O'a îandébo kori
"E mentindo aquele que invoca sua própria alma, a alma de alguém ou também algum santo que está no céu, que acontece?","O'anga koîpó abá 'anga koîpó santo amõ ybakype tekoara renõîndara abé o îuraragûaîamo nhẽ, marãpe?","A'epe o ekobé koîpó amõ abá rekobé koîpó santos ybakype tekoara rembiasaba o îuraragûaîamo nhẽ, marã?","O'anga koîpó abá 'anga koîpó santo amõ ybakype tekoara renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
A armadilha caiu (apanhando caça),O'ar mundé,O'ar mundé,O'ar mundé
Caiume uma tormenta,O'ar yaíba ixébo,O'ar 'yaíba ixébo,O'ar yaíba ixébo
Sucedeume uma tormenta,O'ar 'yaíba ixébo,Aîtororá ixébo,O'ar 'yaíba ixébo
Caiu no chão,O'ar ybype,Aîmombor ybype,O'ar ybype
Jazo de costas,Oatukupepyterybo aîub,Akasang,Oatukupepyterybo aîub
contrário ,"oba1ar (r, s)",emonã bé,"oba1ar (r, s)"
empalidecer,"obaiub (r, s) (xe)",mongaraíb,"obaiub (r, s) (xe)"
pálido,"obaiub/a (r, s)","oby (r, s)","obaiub/a (r, s)"
diante (de),"obaké (r, s)",sybá,"obaké (r, s)"
perante,"obaké (r, s)",sybá,"obaké (r, s)"
dilatar,oba'ok (s),moatã,oba'ok (s)
benzer,obasab,abyare'ymja,se
aparecer,obasem,iekuab/a,obasem
Voa para longe de nós,Obebé îandé suí,Îandé suí i îeapyka,Obebé îandé suí
Parece voar,Obebéberame'ĩ,Obebuîberame'ĩ,Obebéberame'ĩ
Parece flutuar,Obebuîberame'ĩ,Aîpĩpin,Obebuîberame'ĩ
Parece flutuar,Obebuîberame'ĩ,Aîpĩpin,Obebuîberame'ĩ
Brilhou formosamente,Oberabaysó,I apysykatu,Oberabaysó
Rompeuse teu coração por amor a ele,Obok nde nhy'ã saûsuba resé,Xe raûsuba ri nde 'anga pobupobu,Obok nde nhy'ã saûsuba resé
"Rompeuse teu coração, por amor a ele","Obok nde nhy'ã, saûsuba resé","Nde 'anga momburu, saûsuba resé","Obok nde nhy'ã, saûsuba resé"
azul ,oby,"oby (r, s)",oby
verde,"oby (r, s)","oby (r, s)","oby (r, s)"
Faz água,O'ẽ,Aîmo'y'u,O'ẽ
Estou prestes a ir,Oebyraîarinhote aîkó,Aîupabok,Oebyraîarinhote aîkó
Poluiuse outrora teu filho por tu o desejares?,O'ẽpe erimba'e nde membyra nde i potasápe?,Xe agûyagûy,O'ẽpe erimba'e nde membyra nde i potasápe?
"O que alguém acolhe no seu paganismo, no paganismo dele está igualmente?",Og ere'yma pupé abá remipysyrõ oîabé sere'ỹme?,"Abá îagûara remimongûyamone, îagûara abé rekóû?",Og ere'yma pupé abá remipysyrõ oîabé sere'ỹme?
Em sua própria casa o desejo sensual consentindo,Og okype îopotara repîakĩamo,I mbo'ir ahẽ nhe'enga abŷare'yma,Og okype îopotara repîakĩamo
Não querendo proceder segundo a vontade de sua própria carne,Og o'o remimotara rupi oîkópotare'yma,Og o'o remimotara rupi oîkópotare'yma,Og o'o remimotara rupi oîkópotare'yma
A seu pai somente o homem obedece?,Og uba anhõpe abá osapîá?,Abá anhõpe og uba rapîá?,Og uba anhõpe abá osapîá?
A gente o honra mesmo como a seu próprio pai?,Og uba îakatu tenhẽpe asé i moetéû?,Asé rubypy îabé i moetéûne?,Og uba îakatu tenhẽpe asé i moetéû?
A gente o honra como a seu próprio pai?,Og uba îakatutenhẽpe asé i moetéû?,Asé og uba îabé i moetéûne?,Og uba îakatutenhẽpe asé i moetéû?
Ele tomou os traços dos olhos de seu pai,Og uba resá ahẽ ogûar,Og uba resá ogûar,Og uba resá ahẽ ogûar
por causa de seu próprio pai,og uba resé,og uba resé,og uba resé
Ele tem olhos claros como seu pai,Og uba rupi ahẽ resatingamo,I nhemoŷrõngatu o ruba rupi,Og uba rupi ahẽ resátingamo
Ele tem olhos claros como seu pai,Og uba rupi ahẽ resátingamo,I nhemoŷrõngatu o ruba rupi,Og uba rupi ahẽ resátingamo
A gente obedece também a seu próprio chefe,Og ubixaba abé asé osapîá,Îandé abé îandé mongaraibypyra t'îapu'am,Og ubixaba abé asé osapîá
Com seu sangue me lavou,Og ugûy pupé xe reî,Nde rugûy pupé xe reî,Og ugûy pupé xe reî
Fazendoo transformarse em seu próprio sangue,Og ugûyramo i monhemonhanga,Sugûy moingóbo,Og ugûyramo i monhemonhanga
Todo seu sangue fazendo derramar,Og ugûytekatu i mo'ẽuká,Sugûy pabẽ sybỹîa,Og ugûytekatu i mo'ẽuká
Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,N'osóîpe i îybá mokõîa o aîubypyra supé?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?
Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,N'osóîpe i îybá mokõîa o aîubypyra supé?,Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?
para seu fogo arrastandonos,ogûatápe oré rekyîa,Tatápe asé reîtyka,ogûatápe oré rekyîa
"Como recompensa de seu muito amor a Ele, Deus levouo certamente, com seu corpo, para o céu","Ogûaûsukatuagûera repyramo, Tupã ipó serã serasóû seté resebé ybakype","I aûsuba repyramo i me'enga i pupé, Tupã seté resebé serasóû ybakype","Ogûaûsukatuagûera repyramo, Tupã ipó serã serasóû seté resebé ybakype"
Desceu aonde nós estamos,Ogûeîy îandé rekoápe,Îandé reîké asé reîké,Ogûeîy îandé rekoápe
Desceu para o centro da terra,Ogûeîyb yby apyterype,Ogûeîyb yby apyterype,Ogûeîyb yby apyterype
Desceu para o meio da terra,Ogûeîyb yby apyterype,Ogûeîyb yby apyterype,Ogûeîyb yby apyterype
"Ao comer junto dos seus discípulos, o pão que apanhou em suas mãos devolveuo","Ogûemimbo'e pyri o karuápe, miapé o pópe gûemiîara i moîebyû","Îesu o boîá pyri o karuápe, miapé rari i me'engi","Ogûemimbo'e pyri o karuápe, miapé o pópe gûemiîara i moîebyû"
"Falando primeiro a seus filhos, que divide (isto é, os bons dos maus)",Ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga,Ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga,Ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga
"Por causa de sua esposa, o marido dela não temeu comêlo","Ogûemirekó resé, i mena nd'o'upoûsubi","I mena resé é, i mena nd'o'upoûsubi","Ogûemirekó resé, i mena nd'o'upoûsubi"
Sustituindo suas palavras para os que o ouviram,Ogûenduparûera supé o nhe'enga rekobîarõmo,I nhe'enga endubypyra supé onhe'enga,Ogûenduparûera supé o nhe'enga rekobîarõmo
Não conhece a preocupação com sua própria morte,Ogûe'õnama resé nheangerekó n'oîkuabi,N'oîkuabi te'õ suí o nheangerekó,Ogûe'õnama resé nheangerekó n'oîkuabi
"Levaramno para um certo palácio, fazendoo entrar consigo",Ogûerasó amõ okusupe seroîkŷabo,"Ogûerasó amõ okusupe, serasóbo berame'ĩ",Ogûerasó amõ okusupe seroîkŷabo
"Levaramno para um certo palácio, fazendoo entrar, reunindo soldados fortes ali por sua causa","Ogûerasó amõ okusupe seroîkŷabo, a'epe maranaritekoaratã reŷnhanga sesé","Ogûerasó ysé amõ okusupe, a'epe gûarinĩ amõ reŷnhanga","Ogûerasó amõ okusupe seroîkŷabo, a'epe maranaritekoaratã reŷnhanga sesé"
"Mesmo vingandose dos que o maltratam, o homem transgride a palavra de Deus?",Ogûerekomemûãsara resé oîepyka tiruãpe abá Tupã nhe'enga abyû?,I moerapûanusu bépe Tupã nhe'enga abyû?,Ogûerekomemûãsara resé oîepyka tiruãpe abá Tupã nhe'enga abyû?
Acredita a gente nisso?,Ogûerobîarype asé eboûinga?,Ererobîarype aîpó?,Ogûerobîarype asé eboûinga?
Devolve o objeto de seu furto,Ogûeroîebyr o mondasagûera,Ogûeroîebyr o mondasagûera,Ogûeroîebyr o mondasagûera
Anuncia os que serão casados,Ogûeronhe'eng i mendarypyrama,I mombe'u me'engaba,Ogûeronhe'eng i mendarypyrama
Anuncia os que serão casados na igreja nos feriados,Ogûeronhe'eng i mendarypyrama Tupãokype marãtekoabe'yma pupé,Anhe'eng sepîaka'ub Tupãokype semana îeîbo,Ogûeronhe'eng i mendarypyrama Tupãokype marãtekoabe'yma pupé
o que tem seu próprio nome,ogûery îara,tera,ogûery îara
"Tão logo ao sair a alma da gente de seu próprio corpo, seu envoltório, Deus a julga","Ogûeté suí, o uru suí, asé 'anga sẽme bé, Tupã sekomonhangi",Abá rekobé o eterama pupé o 'ara rupi bé Tupã sekomonhangi,"Ogûeté suí, o uru suí, asé 'anga sẽme bé, Tupã sekomonhangi"
"Entrando nos seus antigos corpos, fazendoos levantar imediatamente","Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe","Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe","Ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe"
quarto (num ord),oí:oirundyka,a'y,oí:oirundyka
"O que bebe somente na medida, que acontece?","Oîá nhote kagûarape, marã?","Okyko'ẽmbyrybĩ rame'ĩ, marã?","Oîá nhote kagûarape, marã?"
"O que bebe somente o suficiente, que acontece?","Oîá nhote kagûarape, marã?",O kamugûasu kagûápe marã?,"Oîá nhote kagûarape, marã?"
suficiente,oiá; oiakatu,"i tyb (impessoal: há, havia); ikó / ekó (t); ikobé / ekobé (t)",oiá; oiakatu
"Fugiram dele, deixandoo","Oîabab i xuí, seîá",Asysymondok,"Oîabab i xuí, seîá"
"Fugiram dele, deixandoo","Oîabab i xuí, seîá",Asysymondok,"Oîabab i xuí, seîá"
"Assim como a gente reconhece o dia dos santos, do mesmo modo, também, até mesmo seus ossinhos a gente cultua, tendoos no pescoço","Oîabo asé santos 'ara kuabi, oîabo bé asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo","São Lourenço 'ara îaîkuabeté, îabé i py tiruã momba'etéû, i apé oîekuakubi","Oîabo asé santos 'ara kuabi, oîabo bé asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo"
"Assim como a gente reconhece o dia dos santos, do mesmo modo, também, até mesmo seus ossinhos a gente cultua, tendoos no pescoço","Oîabo asé santos 'ara kuabi, oîabo bé asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo","São Lourenço 'ara îaîkuabeté, îabé i py tiruã momba'etéû, i apé oîekuakubi","Oîabo asé santos 'ara kuabi, oîabo bé asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo"
"Transgride também o homem aquela palavra de Deus invocando para seu próximo, bem em seu coração, o diabo ou a morte ou Jurupari?",Oîaby bépe abá aîpó Tupã nhe'enga o py'apekatu o apixara supé Anhanga koîpó te'õ koîpó Îurupari rekyîa?,"Oîmonhangy bépe abá Tupã nhe'enga o apixara supé o py'ape, Anhanga koîpó te'õ koîpó Îurupari rekyîa?",Oîaby bépe abá aîpó Tupã nhe'enga o py'apekatu o apixara supé Anhanga koîpó te'õ koîpó Îurupari rekyîa?
Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?,Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?,Oîkobé serã abá Tupã nhe'enga abŷare'yma o a'yra o nhe'engerekoagûera motenhẽukareme?,Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?
Transgride também aquele (mandamento) o que faz resguardo por causa do parto de sua esposa?,Oîaby bépe aîpó o emirekó membyrara resé oîekuakuba'e?,I kamby amõ resé oîeapirõmo,Oîaby bépe aîpó o emirekó membyrara resé oîekuakuba'e?
